,Property,Price_Range,Location,Agency,Unit,Unit_Price (euro),Rooms,Area (squared meter),Bathrooms,Stage
82,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,LA immo Sàrl,"Appartement 1 chambre neuf, rez-de-chaussée, Belair, Luxembourg",928922,1,52,,3
83,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg",967927,2,68,,1
84,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Belair, Luxembourg",1425788,2,96,,4
85,Appartements et Appartements-studio dans programme neuf à Luxembourg,"€ 612,830 - € 2,269,816",Luxembourg,LA immo Sàrl,"Appartement 3 chambres neuf, rez-de-chaussée, Belair, Luxembourg",2269816,3,131,,5
86,Penthouses et Appartements dans programme neuf à Kehlen,"€ 1,275,003 - € 1,577,284",Kehlen,real immo,"Appartement 3 chambres neuf, rez-de-chaussée, Kehlen, Kehlen",1275003,3,122,1,T
87,Penthouses et Appartements dans programme neuf à Kehlen,"€ 1,275,003 - € 1,577,284",Kehlen,real immo,"Appartement 3 chambres neuf, rez-de-chaussée, Kehlen, Kehlen",1275003,3,122,1,T
88,Penthouses et Appartements dans programme neuf à Kehlen,"€ 1,275,003 - € 1,577,284",Kehlen,real immo,"Penthouse neuf, 150 m², Kehlen, Kehlen",1577284,4,150,1,2
89,Penthouses et Appartements dans programme neuf à Kehlen,"€ 1,275,003 - € 1,577,284",Kehlen,real immo,"Penthouse neuf, 150 m², Kehlen, Kehlen",1577284,4,150,1,2
90,Appartements dans programme neuf à Käerjeng,"€ 842,976 - € 1,167,200",Käerjeng,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Hautcharage, Käerjeng",842976,2,84,1,1
91,Appartements dans programme neuf à Käerjeng,"€ 842,976 - € 1,167,200",Käerjeng,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Hautcharage, Käerjeng",914487,2,86,1,1
92,Appartements dans programme neuf à Käerjeng,"€ 842,976 - € 1,167,200",Käerjeng,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Hautcharage, Käerjeng",935010,2,84,1,T
93,Appartements dans programme neuf à Käerjeng,"€ 842,976 - € 1,167,200",Käerjeng,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Hautcharage, Käerjeng",1026459,2,86,1,2
94,Appartements dans programme neuf à Käerjeng,"€ 842,976 - € 1,167,200",Käerjeng,LA immo Sàrl,"Appartement 3 chambres neuf, rez-de-chaussée, Hautcharage, Käerjeng",1126134,3,104,1,T
95,Appartements dans programme neuf à Käerjeng,"€ 842,976 - € 1,167,200",Käerjeng,LA immo Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Hautcharage, Käerjeng",1167200,2,91,1,2
