,property,price_range,location,property_link,agency,unit,unit_price,unit_info
43,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62551/,Venice Consulting SA,Bureau - Cabinet en Vente,"€ 1,287,080","{'superficie': '104\n m²', 'étage': 'T'}"
44,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/63115/,Venice Consulting SA,Bureau - Cabinet en Vente,"€ 1,287,080","{'superficie': '104\n m²', 'étage': 'T'}"
45,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62523/,Venice Consulting SA,Local commercial en Vente,"€ 1,346,200","{'superficie': '131\n m²', 'étage': 'T'}"
46,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62511/,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg","€ 2,326,050","{'chambres/pièces': '3', 'superficie': '138\n m²', 'salles de bain': '2', 'étage': '4'}"
47,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,https://www.immotop.lu/annonces/155719/62517/,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg","€ 2,695,900","{'chambres/pièces': '4', 'superficie': '162\n m²', 'étage': '4'}"
48,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/131997/,Venice Consulting SA,"Appartement 1 chambre neuf, rez-de-chaussée, Bertrange, Bertrange","€ 612,991","{'chambre/pièce': '1', 'superficie': '35\n m²', 'salle de bain': '1', 'étage': 'T'}"
49,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132001/,Venice Consulting SA,"Studio à vendre, Bertrange, Bertrange","€ 629,171","{'superficie': '35\n m²', 'salle de bain': '1'}"
50,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132009/,Venice Consulting SA,"Studio à vendre, Bertrange, Bertrange","€ 632,840","{'superficie': '35\n m²', 'salle de bain': '1'}"
51,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132005/,Venice Consulting SA,"Studio à vendre, Bertrange, Bertrange","€ 632,840","{'superficie': '35\n m²', 'salle de bain': '1'}"
52,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132011/,Venice Consulting SA,"Studio à vendre, Bertrange, Bertrange","€ 661,647",{'superficie': '42\n m²'}
53,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132019/,Venice Consulting SA,"Studio à vendre, Bertrange, Bertrange","€ 670,184","{'superficie': '46\n m²', 'salle de bain': '1'}"
54,Appartements et Appartements-studio dans programme neuf à Bertrange,"€ 612,991 - € 3,112,007",Bertrange,https://www.immotop.lu/annonces/396125/132013/,Venice Consulting SA,"Studio à vendre, Bertrange, Bertrange","€ 670,184",{'superficie': '46\n m²'}
