,Property,Price_Range,Location,Agency,Unit,Unit_Price (euro),Rooms,Area (squared meter),Bathrooms,Stage
99,"Appartement 1 chambre deuxième étage, Merl, Luxembourg","€ 1,650/mois",Luxembourg,New Immo,"Appartement 1 chambre deuxième étage, Merl, Luxembourg",1650,1,64,1,2
100,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,000/mois",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg",3000,2,81,,T
101,"Penthouse neuf, 133 m², Kirchberg, Luxembourg","€ 4,250/mois",Luxembourg,New Immo,"Penthouse neuf, 133 m², Kirchberg, Luxembourg",4250,3,133,,3
102,"Appartement 3 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,400/mois",Luxembourg,New Immo,"Appartement 3 chambres neuf, deuxième étage, Kirchberg, Luxembourg",3400,3,99,,2
103,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,200/mois",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg",3200,2,94,,T
104,"Penthouse neuf, 121 m², Kirchberg, Luxembourg","€ 3,950/mois",Luxembourg,New Immo,"Penthouse neuf, 121 m², Kirchberg, Luxembourg",3950,3,121,,3
105,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg",3100,2,91,,1
106,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 2,950/mois",Luxembourg,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg",2950,2,81,,1
107,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,New Immo,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg",3100,2,88,,2
108,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg","€ 3,100/mois",Luxembourg,New Immo,"Appartement 2 chambres neuf, premier étage, Kirchberg, Luxembourg",3100,2,86,,1
109,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg","€ 3,000/mois",Luxembourg,New Immo,"Appartement 2 chambres neuf, deuxième étage, Kirchberg, Luxembourg",3000,2,81,,2
110,"Appartement 1 chambre neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 2,200/mois",Luxembourg,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Kirchberg, Luxembourg",2200,1,55,,T
111,"Appartement 1 chambre deuxième étage, Roeser, Roeser","€ 1,650/mois",Roeser,New Immo,"Appartement 1 chambre deuxième étage, Roeser, Roeser",1650,1,70,1,2
112,"Appartement 1 chambre neuf, deuxième étage, Kirchberg, Luxembourg","€ 2,150/mois",Luxembourg,New Immo,"Appartement 1 chambre neuf, deuxième étage, Kirchberg, Luxembourg",2150,1,54,,2
113,"Appartement 3 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg","€ 3,400/mois",Luxembourg,New Immo,"Appartement 3 chambres neuf, rez-de-chaussée, Kirchberg, Luxembourg",3400,3,94,,T
114,"Appartement 3 chambres neuf, premier étage, Oberanven, Rameldange, Hostert, Niederanven","€ 3,800/mois",Niederanven,New Immo,"Appartement 3 chambres neuf, premier étage, Oberanven, Rameldange, Hostert, Niederanven",3800,3,166,3,1
115,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg","€ 2,950/mois",Luxembourg,New Immo,"Appartement 1 chambre premier étage, Ville Haute, Luxembourg",2950,1,89,1,1
