,property,price_range,location,property_link,agency,unit,unit_price,unit_info
58,"Appartement 1 chambre rez-de-chaussée, Rodange, Pétange","€ 1,380/mois",Pétange,https://www.immotop.lu/annonces/374505/,Agence Immobilière MARAMAX s.à r.l.,"Appartement 1 chambre rez-de-chaussée, Rodange, Pétange","€ 1,380/mois","{'chambre/pièce': '1', 'superficie': '55\n m²', 'salle de bain': '1', 'étage': 'T'}"
59,"Appartement 1 chambre rez-de-chaussée, Hollerich, Luxembourg","€ 1,800/mois",Luxembourg,https://www.immotop.lu/annonces/477259/,Agence IMMMO,"Appartement 1 chambre rez-de-chaussée, Hollerich, Luxembourg","€ 1,800/mois","{'chambre/pièce': '1', 'superficie': '85\n m²', 'salle de bain': '1', 'étage': 'T'}"
60,"Appartement 1 chambre deuxième étage, Remich, Remich","€ 1,500/mois",Remich,https://www.immotop.lu/annonces/477405/,Agence Immobilière Joe Rock,"Appartement 1 chambre deuxième étage, Remich, Remich","€ 1,500/mois","{'chambre/pièce': '1', 'superficie': '90\n m²', 'salle de bain': '1', 'étage': '2'}"
61,"Appartement 1 chambre rue Guillaume Schneider, Limpertsberg, Luxembourg","€ 1,700/mois",Luxembourg,https://www.immotop.lu/annonces/457835/,MKA Malou KNAFF Sàrl,"Appartement 1 chambre rue Guillaume Schneider, Limpertsberg, Luxembourg","€ 1,700/mois","{'chambre/pièce': '1', 'superficie': '76\n m²', 'salle de bain': '1', 'étage': 'T'}"
62,"Maison individuelle 8 rue l'Orée du Bois, Bereldange, Walferdange","€ 2,800/mois",Walferdange,https://www.immotop.lu/annonces/402189/,Multi Business Consultant,"Maison individuelle 8 rue l'Orée du Bois, Bereldange, Walferdange","€ 2,800/mois","{'chambres/pièces': '5', 'superficie': '150\n m²', 'salles de bain': '2'}"
63,"Appartement 1 chambre 9A rue de Chiny, Gare, Luxembourg","€ 1,850/mois",Luxembourg,https://www.immotop.lu/annonces/454279/,Multi Business Consultant,"Appartement 1 chambre 9A rue de Chiny, Gare, Luxembourg","€ 1,850/mois","{'chambre/pièce': '1', 'superficie': '50\n m²', 'salle de bain': '1', 'étage': '3'}"
64,"Appartement 2 chambres 40 rue principale, Schuttrange, Schuttrange","€ 2,350/mois",Schuttrange,https://www.immotop.lu/annonces/413653/,Homely,"Appartement 2 chambres 40 rue principale, Schuttrange, Schuttrange","€ 2,350/mois","{'chambres/pièces': '2', 'superficie': '104\n m²', 'salles de bain': '2', 'étage': '1'}"
65,"Appartement 1 chambre avenue Lou Hemmer, Mondorf-les-Bains, Mondorf-les-Bains","€ 1,100/mois",Mondorf-les-Bains,https://www.immotop.lu/annonces/420765/,Schiltz Immo,"Appartement 1 chambre avenue Lou Hemmer, Mondorf-les-Bains, Mondorf-les-Bains","€ 1,100/mois","{'chambre/pièce': '1', 'superficie': '51\n m²', 'salle de bain': '1', 'étage': 'T'}"
66,"Appartement 2 chambres troisième étage, Bertrange, Bertrange","€ 1,950/mois",Bertrange,https://www.immotop.lu/annonces/474127/,Immo Losch S.àr.l,"Appartement 2 chambres troisième étage, Bertrange, Bertrange","€ 1,950/mois","{'chambres/pièces': '2', 'superficie': '104\n m²', 'salle de bain': '1', 'étage': '3'}"
67,"Appartement 1 chambre rez-de-chaussée, Berschbach, Rollingen, Mersch","€ 1,300/mois",Mersch,https://www.immotop.lu/annonces/469703/,iKSL S.à.r.l,"Appartement 1 chambre rez-de-chaussée, Berschbach, Rollingen, Mersch","€ 1,300/mois","{'chambre/pièce': '1', 'superficie': '68\n m²', 'salle de bain': '1', 'étage': 'T'}"
