,Property,Price_Range,Location,Agency,Unit, Unit_Price (euro) ,Rooms,Area (squared meter),Bathrooms,Stage
83,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Cessange, Luxembourg","1,383,299.00",2,96,1,T
84,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Kehlen, Kehlen","696,753.00",1,65,,T
85,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","854,969.00",2,84,,2
86,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","893,697.00",2,85,,2
87,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","928,436.00",2,91,,T
88,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","953,515.00",2,95,,1
89,Appartements dans programme neuf à Kehlen,"€ 696,753 - € 976,726",Kehlen,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Kehlen, Kehlen","976,726.00",2,95,,2
90,Appartements et Magasins - locaux commerciaux dans programme neuf à Schifflange,"€ 841,626 - € 931,919",Schifflange,New Immo,Local commercial en Vente,"841,626.00",,111,,T
91,Appartements et Magasins - locaux commerciaux dans programme neuf à Schifflange,"€ 841,626 - € 931,919",Schifflange,New Immo,"Appartement 3 chambres neuf, rez-de-chaussée, Schifflange, Schifflange","931,919.00",3,114,,3
92,Appartements dans programme neuf à Mamer,"€ 1,390,000",Mamer,New Immo,"Appartement 3 chambres neuf, rez-de-chaussée, Mamer, Mamer","1,390,000.00",3,131,2,T
93,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","565,690.00",,43,,
94,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","601,937.00",,44,1,
95,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","609,323.00",,42,,
96,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg","609,462.00",,42,,4
97,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","623,095.00",1,47,1,1
98,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Penthouse route d'Arlon, Belair, Luxembourg","629,713.00",1,43,,4
99,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","629,713.00",1,43,,4
100,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","630,133.00",1,47,1,2
101,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","638,264.00",1,47,1,3
102,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","649,212.00",1,47,,
103,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Studio route d'Arlon, Belair, Luxembourg","668,560.00",1,49,,
104,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","680,708.00",1,58,1,1
105,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","681,314.00",1,57,1,2
106,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","681,472.00",1,53,1,1
107,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","681,472.00",1,53,1,1
108,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","688,759.00",1,53,1,2
109,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","688,759.00",1,53,1,2
110,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","692,732.00",1,57,1,3
111,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","697,622.00",1,53,1,3
112,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","697,622.00",1,53,1,3
113,Appartements et Penthouses dans programme neuf à Luxembourg,"€ 565,690 - € 2,695,900",Luxembourg,Venice Consulting SA,"Appartement 1 chambre route d'Arlon, Belair, Luxembourg","718,726.00",1,61,1,1
