,property,price_range,location,property_link,agency,unit,unit_price,unit_info
56,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,https://www.immotop.lu/annonces/351793/118367/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","€ 1,007,108","{'chambres/pièces': '2', 'superficie': '97\n m²', 'étage': '2'}"
57,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,https://www.immotop.lu/annonces/351793/118369/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","€ 1,079,595","{'chambres/pièces': '2', 'superficie': '93\n m²', 'étage': 'T'}"
58,Appartements dans programme neuf à Lorentzweiler,"€ 932,095 - € 1,118,929",Lorentzweiler,https://www.immotop.lu/annonces/351793/118371/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Lorentzweiler, Lorentzweiler","€ 1,118,929","{'chambres/pièces': '2', 'superficie': '97\n m²', 'étage': 'T'}"
59,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,https://www.immotop.lu/annonces/436451/141999/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Cessange, Luxembourg","€ 617,609","{'chambre/pièce': '1', 'superficie': '41\n m²', 'salle de bain': '1', 'étage': '2'}"
60,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,https://www.immotop.lu/annonces/436451/142001/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Cessange, Luxembourg","€ 720,110","{'chambre/pièce': '1', 'superficie': '49\n m²', 'salle de bain': '1', 'étage': '2'}"
61,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,https://www.immotop.lu/annonces/436451/142003/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Cessange, Luxembourg","€ 857,761","{'chambres/pièces': '2', 'superficie': '56\n m²', 'salle de bain': '1', 'étage': '1'}"
62,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,https://www.immotop.lu/annonces/436451/142005/,New Immo,"Appartement 1 chambre neuf, rez-de-chaussée, Cessange, Luxembourg","€ 992,926","{'chambre/pièce': '1', 'superficie': '68\n m²', 'salle de bain': '1', 'étage': '1'}"
63,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,https://www.immotop.lu/annonces/436451/142007/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Cessange, Luxembourg","€ 1,048,403","{'chambres/pièces': '2', 'superficie': '76\n m²', 'salle de bain': '1', 'étage': '3'}"
64,Appartements dans programme neuf à Luxembourg,"€ 617,609 - € 1,383,299",Luxembourg,https://www.immotop.lu/annonces/436451/142009/,New Immo,"Appartement 2 chambres neuf, rez-de-chaussée, Cessange, Luxembourg","€ 1,383,299","{'chambres/pièces': '2', 'superficie': '96\n m²', 'salle de bain': '1', 'étage': 'T'}"
65,Appartements et Magasins - locaux commerciaux dans programme neuf à Schifflange,"€ 841,626 - € 931,919",Schifflange,https://www.immotop.lu/annonces/144687/57737/,New Immo,Local commercial en Vente,"€ 841,626","{'superficie': '111\n m²', 'étage': 'T'}"
66,Appartements et Magasins - locaux commerciaux dans programme neuf à Schifflange,"€ 841,626 - € 931,919",Schifflange,https://www.immotop.lu/annonces/144687/57703/,New Immo,"Appartement 3 chambres neuf, rez-de-chaussée, Schifflange, Schifflange","€ 931,919","{'chambres/pièces': '3', 'superficie': '114\n m²', 'étage': '3'}"
67,Appartements dans programme neuf à Mamer,"€ 1,390,000",Mamer,https://www.immotop.lu/annonces/144733/57727/,New Immo,"Appartement 3 chambres neuf, rez-de-chaussée, Mamer, Mamer","€ 1,390,000","{'chambres/pièces': '3', 'superficie': '131\n m²', 'salles de bain': '2', 'étage': 'T'}"
