,Property,Price_Range,Location,Link,Agency,Unit,Unit_Price_euro,Unit_Type,Rooms,Area_sqm,Bathrooms,Stage
51,Maisons individuelles dans programme neuf à Junglinster,"€ 1,335,772 - € 1,516,774",Junglinster,https://www.immotop.lu/annonces/146231/58321/,BATINVEST,"Maison individuelle 200 m², neuve, Godbrange, Junglinster",1362373.0,Maison individuelle,4.0,200.0,2.0,
52,Maisons individuelles dans programme neuf à Junglinster,"€ 1,335,772 - € 1,516,774",Junglinster,https://www.immotop.lu/annonces/146231/58347/,BATINVEST,"Maison individuelle 194 m², neuve, Godbrange, Junglinster",1516774.0,Maison individuelle,3.0,194.0,2.0,
53,Appartements dans programme neuf à Pétange,"€ 659,521 - € 719,340",Pétange,https://www.immotop.lu/annonces/468785/150559/,EFA PROMO Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Pétange, Pétange",659521.0,Appartement,2.0,62.0,,T
54,Appartements dans programme neuf à Pétange,"€ 659,521 - € 719,340",Pétange,https://www.immotop.lu/annonces/468785/150557/,EFA PROMO Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Pétange, Pétange",696680.0,Appartement,2.0,84.0,,T
55,Appartements dans programme neuf à Pétange,"€ 659,521 - € 719,340",Pétange,https://www.immotop.lu/annonces/468785/150555/,EFA PROMO Sàrl,"Appartement 2 chambres neuf, rez-de-chaussée, Pétange, Pétange",719340.0,Appartement,2.0,75.0,,T
56,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163297/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal",719332.0,Appartement,1.0,55.0,,1
57,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163299/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal",725340.0,Appartement,1.0,62.0,,1
58,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163303/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal",725694.0,Appartement,1.0,62.0,,1
59,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163307/,EspaceImmo,"Appartement 1 chambre neuf, rez-de-chaussée, Bridel, Kopstal",729619.0,Appartement,1.0,62.0,,2
60,Appartements dans programme neuf à Kopstal,"€ 719,332 - € 1,203,404",Kopstal,https://www.immotop.lu/annonces/510389/163317/,EspaceImmo,"Appartement 3 chambres neuf, rez-de-chaussée, Bridel, Kopstal",1203404.0,Appartement,3.0,105.0,1.0,1
