,property,price_range,location,property_link,agency,unit,unit_price,unit_type,unit_info
2128,"Maison individuelle 450 m², Garnich, Garnich","€ 2,050,000",Garnich,https://www.immotop.lu/annonces/242089/,New Immo,"Maison individuelle 450 m², Garnich, Garnich","€ 2,050,000",Maison individuelle,"{'chambres/pièces': '5+', 'superficie': '450\n m²', 'salles de bain': '3'}"
2129,"Appartement 2 chambres 13, rue Robert Schuman, Pétange, Pétange","€ 689,000",Pétange,https://www.immotop.lu/annonces/394897/,LOGGIA Immo,"Appartement 2 chambres 13, rue Robert Schuman, Pétange, Pétange","€ 689,000",Appartement,"{'chambres/pièces': '2', 'superficie': '95\n m²', 'salle de bain': '1', 'étage': 'T'}"
2130,"Appartement 2 chambres route de Thionville, Hesperange, Howald, Hesperange","€ 940,000",Hesperange,https://www.immotop.lu/annonces/252501/,MKA Malou KNAFF Sàrl,"Appartement 2 chambres route de Thionville, Hesperange, Howald, Hesperange","€ 940,000",Appartement,"{'chambres/pièces': '2', 'superficie': '90\n m²', 'salle de bain': '1', 'étage': '1'}"
2131,"Maison jumelée / mitoyenne 151 m², Steinheim, Rosport-Mompach","€ 535,000",Rosport-Mompach,https://www.immotop.lu/annonces/163229/,Riman Immobilien,"Maison jumelée / mitoyenne 151 m², Steinheim, Rosport-Mompach","€ 535,000",Maison jumelée / mitoyenne,"{'chambres/pièces': '4', 'superficie': '151\n m²'}"
2132,"Penthouse 127 m² avec balcon, Wasserbillig, Mertert","€ 935,000",Mertert,https://www.immotop.lu/annonces/256095/,Riman Immobilien,"Penthouse 127 m² avec balcon, Wasserbillig, Mertert","€ 935,000",Penthouse,"{'chambres/pièces': '3', 'superficie': '127\n m²', 'salle de bain': '1', 'étage': '3'}"
2133,"Appartement 1 chambre premier étage, Wasserbillig, Mertert","€ 475,000",Mertert,https://www.immotop.lu/annonces/243301/,Riman Immobilien,"Appartement 1 chambre premier étage, Wasserbillig, Mertert","€ 475,000",Appartement,"{'chambre/pièce': '1', 'superficie': '53\n m²', 'salle de bain': '1', 'étage': '1'}"
2134,"Appartement 3 chambres boulevard G -D Joséphine Charlotte, Belair, Luxembourg","€ 1,950,000",Luxembourg,https://www.immotop.lu/annonces/13571/,MKA Malou KNAFF Sàrl,"Appartement 3 chambres boulevard G -D Joséphine Charlotte, Belair, Luxembourg","€ 1,950,000",Appartement,"{'chambres/pièces': '3', 'superficie': '132\n m²', 'salles de bain': '2', 'étage': '1'}"
2135,"Appartement 2 chambres neuf, rez-de-chaussée, Mertert, Mertert","€ 736,140",Mertert,https://www.immotop.lu/annonces/164733/,Riman Immobilien,"Appartement 2 chambres neuf, rez-de-chaussée, Mertert, Mertert","€ 736,140",Appartement,"{'chambres/pièces': '2', 'superficie': '75\n m²', 'salle de bain': '1', 'étage': 'T'}"
2136,"Maison individuelle 6, Millewiss, Ell, Ell","€ 1,298,000",Ell,https://www.immotop.lu/annonces/475953/,RE/MAX Immo Specialists,"Maison individuelle 6, Millewiss, Ell, Ell","€ 1,298,000",Maison individuelle,"{'chambres/pièces': '3', 'superficie': '190\n m²', 'salles de bain': '2'}"
2137,"Maison individuelle 345 m², excellent état, Belvaux, Sanem","€ 1,850,000",Sanem,https://www.immotop.lu/annonces/349475/,COLLINI WELTER Immobilière S.à.r.l.,"Maison individuelle 345 m², excellent état, Belvaux, Sanem","€ 1,850,000",Maison individuelle,"{'chambres/pièces': '5', 'superficie': '345\n m²', 'salles de bain': '2'}"
