,property,prop_type,price,location,proj_link,link,agency,Availability,Livable surface,Lift,Number of bedrooms,Renovation year,Living room,Fitted kitchen,Separate kitchen,Shower rooms,Terrace,Garden,Closed parking space,Basement,Laundry,Energy class,Thermal insulation class,Property's floor,Shower room,Restroom,Bathroom,Balcony,Gas heating,Solar panels,Open kitchen,Bathooms,Open parking space,Land,Pump heating,Year of construction,Number of rooms,Acces for mobility-impared people,Monthly charges,Pets accepted,Renovated,Fireplace,Fuel heating,Attic,Parquet,Wine cellar,Swimming pool,Convertible attic,Converted attic,Sauna,Geothermal heating,Electric heating,Social housing,Total floors,Indoor parking space(s),Rent,Security deposit,Furnished,Type of mandate,Life annuity sale,Assisted living facilities,status
7641,Apartment 1 bedroom in Luxembourg-Cessange,Apartment,795000 ,Mondorf-Les-Bains,https://www.athome.lu/en/buy/apartment/luxembourg/id-7728390.html,https://www.athome.lu/en/buy/apartment/luxembourg/id-7728390.html,JLM IMMOBILIERE,To be agreed,72.0,Yes,1,2014,,Yes,,,,,,Yes,Yes,B,B,,,1,1,5.85 m²,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7644,Triplex 3 bedrooms in Bech,Triplex,885000 ,Greiveldange,https://www.athome.lu/en/buy/apartment/bech/id-7736365.html,https://www.athome.lu/en/buy/apartment/bech/id-7736365.html,Living Concepts sa,À convenir,141.36,,3,2012,30.6 m²,Yes,,,,Yes,1,,Yes,E,E,,,2,1,7.5 m²,,,,,Yes,,,,4,,,,,,Yes,,,,,,,,,,,,,,,,,,,newly_added_200
7645,Apartment 2 bedrooms in Mondorf-Les-Bains,Apartment,891500 ,Greiveldange,https://www.athome.lu/en/buy/apartment/mondorf-les-bains/id-7736364.html,https://www.athome.lu/en/buy/apartment/mondorf-les-bains/id-7736364.html,Living Concepts sa,À convenir,87.26,Yes,2,,,,,,24.98 m²,,1,Yes,Yes,A,A,,1,,,,,,,,1,,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7646,Apartment 2 bedrooms in Mondorf-Les-Bains,Apartment,904903 ,Greiveldange,https://www.athome.lu/en/buy/apartment/mondorf-les-bains/id-7736363.html,https://www.athome.lu/en/buy/apartment/mondorf-les-bains/id-7736363.html,Living Concepts sa,À convenir,78.49,Yes,2,2015,,,,,88.57 m²,,1,Yes,Yes,A,A,1,1,,,,,,,,1,,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7647,Apartment 2 bedrooms in Mondorf-Les-Bains,Apartment,917072 ,Greiveldange,https://www.athome.lu/en/buy/apartment/mondorf-les-bains/id-7736362.html,https://www.athome.lu/en/buy/apartment/mondorf-les-bains/id-7736362.html,Living Concepts sa,À convenir,80.03,Yes,2,2015,,,,,99.61 m²,,1,Yes,Yes,A,A,1,1,,,,,,,,1,,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7648,Apartment 2 bedrooms in Greiveldange,Apartment,951700 ,Belvaux,https://www.athome.lu/en/buy/apartment/greiveldange/id-7736361.html,https://www.athome.lu/en/buy/apartment/greiveldange/id-7736361.html,Living Concepts sa,À convenir,99.79,Yes,2,2020,,,,,4.53 m²,,1,Yes,Yes,A,A,1,,,1,14.89 m²,,,,,1,,Yes,2024,3,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7649,Apartment 2 bedrooms in Greiveldange,Apartment,980940 ,Schifflange,https://www.athome.lu/en/buy/apartment/greiveldange/id-7736360.html,https://www.athome.lu/en/buy/apartment/greiveldange/id-7736360.html,Living Concepts sa,À convenir,102.92,Yes,2,,,,,,4.53 m²,,1,Yes,Yes,A,A,1,,,1,15.42 m²,,,,,1,,Yes,2024,3,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7650,Apartment 2 bedrooms in Greiveldange,Apartment,983505 ,Schifflange,https://www.athome.lu/en/buy/apartment/greiveldange/id-7736359.html,https://www.athome.lu/en/buy/apartment/greiveldange/id-7736359.html,Living Concepts sa,À convenir,100.36,Yes,2,,,,,,37.81 m²,,1,Yes,Yes,A,A,,,,1,,,,,,1,,Yes,2024,3,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7651,Apartment 2 bedrooms in Greiveldange,Apartment,1022645 ,Pétange,https://www.athome.lu/en/buy/apartment/greiveldange/id-7736358.html,https://www.athome.lu/en/buy/apartment/greiveldange/id-7736358.html,Living Concepts sa,À convenir,102.97,Yes,2,2012,,,,,39.36 m²,,1,Yes,Yes,A,A,,,,1,,,,,,2,,Yes,2024,3,,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7652,Apartment 2 bedrooms in Belvaux,Apartment,717900 ,Bascharage,https://www.athome.lu/en/buy/apartment/belvaux/id-7735614.html,https://www.athome.lu/en/buy/apartment/belvaux/id-7735614.html,Personne Privée,Immediate,82.0,,2,2012,,Yes,Yes,,,Yes,1,Yes,Yes,H,H,3,,,1,Yes,Yes,,,,1,,,1973,5,,,,Yes,,,,,,,,,,,,,3,,,,,,,,newly_added_200
7653,Apartment 3 bedrooms in Schifflange,Apartment,1128000 ,Differdange,https://www.athome.lu/en/buy/apartment/schifflange/id-7735723.html,https://www.athome.lu/en/buy/apartment/schifflange/id-7735723.html,Immo&Conseil sa,Libre,160.0,Yes,3,2022,,,,2,Yes,,2,Yes,Yes,A,A,999,,,,,,,,,,,Yes,2021,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7654,Duplex 2 bedrooms in Schifflange,Duplex,699000 ,Kayl,https://www.athome.lu/en/buy/apartment/schifflange/id-7735680.html,https://www.athome.lu/en/buy/apartment/schifflange/id-7735680.html,ELSA'HOME Sarl,à convenir,96.0,Yes,2,2011,Yes,Yes,Yes,,,,1,,Yes,E,E,3,1,,,Yes,Yes,,,,,,,2010,,Yes,300 €,Yes,,,,Yes,,,,,,,,,,,,,,,,,,newly_added_200
7655,Apartment 1 bedroom in Pétange,Apartment,375000 ,Belval,https://www.athome.lu/en/buy/apartment/petange/id-7735629.html,https://www.athome.lu/en/buy/apartment/petange/id-7735629.html,LUX-JB-IMMO,Immediate,42.0,Yes,1,,Yes,Yes,,,Yes,,,Yes,Yes,E,E,0,1,,,,Yes,,Yes,,,,,2010,,,160 €,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7656,Penthouse 1 bedroom in Bascharage,Penthouse,599000 ,Belvaux,https://www.athome.lu/en/buy/apartment/bascharage/id-7735625.html,https://www.athome.lu/en/buy/apartment/bascharage/id-7735625.html,Collini Welter Immobilière Sàrl,immédiate,58.04,,1,2016,Yes,Yes,Yes,,29.37 m²,,2,Yes,Yes,B,B,2,1,1,,,Yes,,,,,,,2022,,,,Yes,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7657,Apartment 1 bedroom in Differdange,Apartment,465000 ,Esch-sur-Alzette,https://www.athome.lu/en/buy/apartment/differdange/id-7735623.html,https://www.athome.lu/en/buy/apartment/differdange/id-7735623.html,LUX-JB-IMMO,Immediate,52.7,Yes,1,,Yes,Yes,,,Yes,,1,Yes,Yes,E,E,3,1,,,,Yes,,Yes,,,,,2006,,,230 €,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7658,Flat in Kayl,Flat,328000 ,Bettembourg,https://www.athome.lu/en/buy/apartment/kayl/id-7735615.html,https://www.athome.lu/en/buy/apartment/kayl/id-7735615.html,LUX-JB-IMMO,To be agreed,29.0,,,2015,Yes,Yes,Yes,,,Yes,,Yes,Yes,F,G,2,1,,,Yes,Yes,,,,,,,1996,,,90 €,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7659,Penthouse 3 bedrooms in Belval,Penthouse,1150000 ,Esch-sur-Alzette,https://www.athome.lu/en/buy/apartment/belval/id-7735605.html,https://www.athome.lu/en/buy/apartment/belval/id-7735605.html,LUX-JB-IMMO,Immediate,115.0,Yes,3,2015,Yes,Yes,,,Yes,,2,Yes,Yes,A,B,6,1,1,,,Yes,,Yes,,,,,2010,,,340 €,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7660,Apartment 3 bedrooms in Belvaux,Apartment,1150000 ,Niederanven,https://www.athome.lu/en/buy/apartment/belvaux/id-7735597.html,https://www.athome.lu/en/buy/apartment/belvaux/id-7735597.html,LUX-JB-IMMO,Immediate,115.0,Yes,3,2019,Yes,Yes,,,Yes,,2,Yes,Yes,A,B,6,1,1,,,Yes,,Yes,,,,,2010,,,340 €,,,,,,,,,,,,,,,,,,,,,,,newly_added_200
7661,Apartment 2 bedrooms in Esch-sur-Alzette,Apartment,585000 ,Biwer,https://www.athome.lu/en/buy/apartment/esch-sur-alzette/id-7735593.html,https://www.athome.lu/en/buy/apartment/esch-sur-alzette/id-7735593.html,Collini Welter Immobilière Sàrl,à convenir,86.0,Yes,2,2019,Yes,Yes,Yes,,,,1,Yes,Yes,NC,NC,2,1,,,Yes,Yes,,,,1,,,,,,295 €,Yes,,,,,,,,,,,,,,,,,,,,,,newly_added_200
